Land/Sea,ERA5Year,ERA5Month,ERA5Day,ERA5Hour,MODIS_Day,MODIS_Hour,MODIS_Minute,VIIRSDay,VIIRSHour,VIIRSMinute,iPos,jPos,DeltaTime1,DeltaTime2,B1_MODIS,B2_MODIS,B3_MODIS,B4_MODIS,B5_MODIS,B6_MODIS,B7_MODIS,B8_MODIS,B9_MODIS,B10_MODIS,B11_MODIS,B12_MODIS,B13_MODIS,B14_MODIS,B15_MODIS,B16_MODIS,B17_MODIS,B18_MODIS,B19_MODIS,B1_VIIRS,B2_VIIRS,B3_VIIRS,B4_VIIRS,B5_VIIRS,B6_VIIRS,B7_VIIRS,B8_VIIRS,B9_VIIRS,B10_VIIRS,B11_VIIRS,VZA_MODIS,VAA_MODIS,SZA_MODIS,SAA_MODIS,CLM_MODIS,VZA_VIIRS,VAA_VIIRS,SZA_VIIRS,SAA_VIIRS,CLM_VIIRS,NDVI,dTime
L,2021,03,05,13,5,13,18,5,13,3,189,1409,18.6,3.8,27.0097656,58.8236771,53.3252335,39.1088448,27.3263588,8.7224426,1.5282313,58.5921860,55.2626495,46.1941071,40.4579048,40.3108635,25.8347721,0.0000000,25.2044277,0.0000000,0.0000000,0.0000000,45.4025879,60.1710663,54.7413063,48.3648376,41.0140266,26.1341534,0.0000000,59.5945930,27.6974049,0.2711445,8.7178564,1.3305380,30.0,76.7,49.3,-168.3,4.00,28.6,75.7,48.8,-173.1,4.00,0.64,890.2,
L,2021,03,05,13,5,13,15,5,13,0,235,1419,15.4,0.5,61.3993187,46.0275955,69.3436813,59.2531624,25.4910030,14.2318249,4.9136147,69.6180344,68.8018112,62.5337257,57.5282898,58.9749603,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,35.4987068,72.3343964,69.4804230,67.0793381,62.7906113,64.9622116,0.0000000,47.4468994,26.2817020,0.0972734,15.1412354,3.8509009,39.6,77.8,38.5,-162.9,4.00,38.6,77.1,37.7,-168.7,3.96,0.07,895.2,
L,2021,03,05,13,5,13,15,5,13,0,236,1419,15.4,0.5,68.1329727,50.7350502,73.1087875,64.7825394,29.4426365,16.9632683,5.8440461,72.2285156,72.0212936,66.3111725,62.2238731,64.4683228,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,38.8215942,74.4574127,72.1691895,70.4394913,67.9160004,72.1754227,0.0000000,52.2116966,30.3484802,0.0985162,17.9306107,4.6165681,40.1,77.1,38.2,-162.8,4.00,39.0,76.7,37.4,-168.7,3.96,0.06,895.8,
L,2021,03,05,13,5,13,15,5,13,0,237,1419,15.3,0.4,73.5868073,55.3985329,75.0625458,67.6638641,33.8875732,19.5376968,6.7890935,73.5999451,73.7158737,68.2598190,64.5467529,67.1876678,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,42.4351196,75.2793121,73.1795883,71.7504959,70.0638351,77.0791931,0.0000000,56.1581650,34.2688179,0.0879453,20.4358425,5.2603469,40.5,77.4,38.0,-162.7,4.00,39.4,76.5,37.2,-168.6,4.00,0.05,895.2,
L,2021,03,05,13,5,13,15,5,13,0,238,1414,15.3,0.4,60.8687515,45.0353889,71.2240524,58.7620201,24.0906906,13.5938139,4.8231726,72.5688019,71.1106796,63.7434464,57.5901604,58.2579842,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,35.0076752,72.3244934,68.8421326,65.7344437,60.4063072,63.2278099,0.0000000,45.7956543,24.6970329,0.1409133,14.3140287,3.7313600,47.0,76.8,37.4,-164.6,4.00,45.4,75.9,36.7,-170.6,3.99,0.06,895.2,
L,2021,03,05,13,5,13,15,5,13,0,238,1415,15.3,0.4,60.9646149,46.6684799,69.4955292,57.4717751,25.0445919,13.8156309,4.8623676,71.0780411,69.4826050,62.0847702,56.0605354,57.4614830,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,36.5583878,71.7023315,67.9895020,64.6837234,59.3531570,63.7455025,0.0000000,47.4881020,25.6782360,0.1027830,14.5521669,3.8108153,45.9,77.3,37.5,-164.2,3.99,44.3,75.6,36.8,-170.2,4.00,0.07,894.8,
L,2021,03,05,13,5,13,15,5,13,0,238,1416,15.3,0.4,63.7504692,49.9285278,71.2877731,60.9359665,28.0860558,15.6400633,5.3463597,71.9851074,70.8358459,64.0549698,58.9392548,60.8291740,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,38.5882645,72.9786530,69.7492905,67.0941849,63.2743721,66.7972641,0.0000000,50.9731903,28.6967831,0.0862953,16.4880314,4.2256665,44.7,77.9,37.5,-163.9,3.98,43.2,76.2,36.8,-169.8,3.97,0.08,895.2,
L,2021,03,05,13,5,13,15,5,13,0,238,1417,15.3,0.4,71.3423538,54.2917824,74.6352844,66.4017029,31.3769779,17.8301544,6.0665841,73.8409271,73.5340271,67.5936508,63.4761772,65.2318726,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,41.5154991,75.1353455,72.6892014,70.9054565,68.7885742,74.6904068,0.0000000,55.4152145,31.9760685,0.0787322,18.6002407,4.6876745,43.5,77.5,37.6,-163.4,3.99,42.1,75.9,36.8,-169.4,3.99,0.06,895.2,
L,2021,03,05,13,5,13,15,5,13,0,238,1418,15.3,0.3,69.0884247,52.7546883,71.7007446,62.7830925,32.0537415,18.1356335,6.2307758,71.7068176,70.9622879,64.7894897,60.1502190,62.1101799,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,40.8889122,73.2797623,70.4053574,68.3767395,65.7020187,73.7766953,0.0000000,54.6484528,32.9372253,0.0795887,19.2126808,4.9637871,42.2,77.1,37.7,-163.1,4.00,41.0,76.5,36.9,-169.0,4.00,0.06,895.5,
L,2021,03,05,13,5,13,15,5,13,0,238,1419,15.3,0.3,73.9344788,56.4449387,72.9847717,66.4420166,34.2737656,19.8854332,6.8436251,72.1589966,71.8934937,66.2424088,62.8191986,65.3485489,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,43.6240692,73.9841080,71.5014496,69.8837357,69.1059036,78.1999588,0.0000000,57.7272530,35.0427818,0.0847289,20.8768177,5.3682618,40.9,77.8,37.7,-162.7,4.00,39.8,77.3,36.9,-168.6,4.00,0.06,895.8,
